retailer_name,retailer_lat,retailer_long,retailer_category,ride_type,retailer_product_name,retailer_product_target_age,retailer_product_target_gender,retailer_product_discount
Jinnah International Airport - Karachi - Sindh,24.9005,67.1682,,,,,,
Shalimar Estate Apartments - Block 5 - Clifton - Karachi,24.816,67.0291,,,,,,
KHI Arrivals: Jinnah International Airport - Karachi,24.9002,67.1682,,,,,,
Shoaib Plaza - Near Abid Town - Gulshan-e-Iqbal Block - 01 - Karachi,24.9237,67.0835,,,,,,
Movenpick Ice-cream Parlor - Defence Housing Authority - Karachi - Sindh,24.8064,67.0393,restaurants,Business,,,,
D'Mello Road - Saddar Town - Karachi,24.8546,67.0144,,,,,,
CENTREPOINT - Shaheed-e-Millat Expy - Karachi - Sindh,24.8323,67.081,,,,,,
Karachi Marriott Hotel - Karachi,24.8459,67.031,,,,,,
Bath Island - Bath Island - Karachi - Sindh,24.8339,67.0271,,,,,,
B-224 Federal B Area Block 10 - Paradigm Street - Gulberg - Karachi,24.9316,67.0656,,,,,,
Anda Mor Rd - Anda Mor Rd - North Karachi - Karachi - Sindh,24.9649,67.0574,,,,,,
The Hot Spot - Karachi,24.8078,67.0382,,,,,,
Jinnah Internation Airport - Jinnah Terminal - Karachi,24.9009,67.168,,,,,,
Jinnah International Airport - Short Stay / Pickup Lane - Karachi,24.8996,67.1686,,,,,,
Avari Towers - Fatima Jinnah Road - Saddar Town - Karachi - Sindh,24.8524,67.0321,,,,,,
Omer St - Karachi - Karachi,24.9337,67.0523,,,,,,
Mohammadi Sheermal House,24.9351,67.0742,,,,,,
Dilkusha Forum - Tariq Road - Karachi,24.8785,67.0642,,,,,,
BBQ Tonight Parking Lot - Clifton - Karachi - Sindh,24.816,67.0211,,,,,,
Shaheed Foundation Pakistan - Abajee Street - Federal B Area - Karachi - Sindh,24.9459,67.0804,,,,,,
"Movenpick Hotel - 139 McNiel Road, Cantt, 3918 Club Road - Cantt - Karachi",24.8469,67.026,,,,,,
Honey Traders,24.8296,67.0733,,,,,,
KDA Market - Gulshan Town - Karachi - Sindh,24.9274,67.0944,,,,,,
Dolmen Mall - ?????,24.8768,67.0627,,,,,,
Popular Marble Industries - Bara Board - Karachi - Sindh,24.8989,67.0192,,,,,,
Habib Bank - Shah Faisal Colony - Karachi - Sindh,24.8814,67.1521,,,,,,
N Circular Ave - Karachi - Karachi,24.8463,67.0613,,,,,,
Dress Corner - Tabish Dehlavi Road - Nazimabad - Karachi - Sindh,24.9218,67.0254,,,,,,
Crescent Motors Pakistan - Allama Iqbal Road - Karachi,24.8746,67.0548,,,,,,
Parsi Tower of Silence - Karachi - Sindh,24.8668,67.0692,,,,,,
Boat View Apartments,24.8256,67.0258,,,,,,
Road No 8 - Road No 8 - Bufferzone - Karachi - Sindh,24.9555,67.0661,,,,,,
M�venpick Hotel Karachi - Club Road - ??? ???? - ????? - ????,24.8466,67.026,,,,,,
Gulshan-e-Amin Tower - Karachi,24.9138,67.1254,,,,,,
R-214 - Sector 14-B - Shadman Town - Karachi,24.9628,67.0552,,,,,,
A-240 Block H - Sheikh Saadi Road - North Nazimabad - Karachi,24.9358,67.0491,,,,,,
Kolachi - Sea View Road - Defence Housing Authority - Karachi - Sindh,24.7566,67.0953,restaurants,Business,,,,
State Life Insurance Corporation Of Pakistan - Saddar Town - Karachi - Sindh,24.845,67.0267,,,,,,
K.M.D.C - ?????,24.9425,67.0602,,,,,,
Port Grand - Port Grand Food Street - Kiamari - Karachi - Sindh,24.8455,66.9922,,,,,,
Alyabad Jamat Khana - Gulberg - Karachi - Sindh,24.9211,67.0642,,,,,,
Arena Club - Karsaz Road - Karsaz - Karachi - Sindh,24.8876,67.0898,,,,,,
